Sample ID,Location,Sex,Hg (ug/g),T3 (pg/mg),Corticosterone (pg/mg)
A1,Wisconsin,M,5.86,44.0458322,10.07
A2,Wisconsin,M,1.57,37.45131915,3.53
A3,Wisconsin,F,2.56,33.31121249,8.50
A4,Wisconsin,M,3.40,44.51423414,7.43
A5,Wisconsin,M,2.59,75.1542205,7.42
A6,Wisconsin,F,2.16,25.32845362,4.96
A7,Wisconsin,F,2.35,46.24331617,5.22
A8,Wisconsin,F,1.93,60.15632844,8.50
A9,Wisconsin,M,3.01,48.49378328,8.90
A10,Wisconsin,F,3.60,51.56485083,4.26
A11,Wisconsin,M,4.46,46.40946409,5.87
A12,Wisconsin,M,1.44,47.01498687,6.46
A13,Wisconsin,F,1.42,37.21408581,5.57
A15,Wisconsin,F,1.88,41.31069866,6.42
A16,Wisconsin,M,2.22,59.05094181,8.51
A17,Wisconsin,M,2.38,46.88180449,6.58
A18,Wisconsin,F,1.22,50.5763974,7.35
A19,Wisconsin,F,2.85,59.51252949,7.31
A20,Wisconsin,M,2.37,44.64824289,9.10
A21,Wisconsin,F,2.21,42.92443424,5.29
A22,Wisconsin,F,1.77,46.82179437,7.09
A23,Wisconsin,F,2.34,37.98250151,5.92
A24,Wisconsin,M,2.37,48.22286829,8.08
A25,Wisconsin,M,4.14,39.32840734,6.53
B1,Virginia,M,3.48,46.08548333,7.39
B2,Virginia,M,3.38,57.80570794,7.57
B3,Virginia,M,3.49,32.70642984,5.38
B4,Virginia,M,5.37,44.14317219,9.44
B5,Virginia,F,2.46,24.20903174,4.10
B6,Virginia,M,2.66,51.06987868,5.71
B7,Virginia,M,1.54,48.05158696,6.47
B8,Virginia,F,3.41,28.7309973,4.03
B9,Virginia,M,3.01,37.55457014,5.58
B10,Virginia,F,4.21,51.27301074,6.93
B11,Virginia,M,2.95,59.68377875,5.83
B12,Virginia,M,2.36,45.47410304,7.07
B13,Virginia,F,2.45,29.09384632,5.24
B14,Virginia,F,2.28,42.01234787,7.45
B15,Virginia,F,1.84,44.66300329,5.88
B16,Virginia,F,2.38,45.23299849,4.36
B17,Virginia,M,2.56,80.04270299,7.71
B18,Virginia,F,1.19,40.01003281,6.80
B19,Virginia,F,5.33,62.87861926,8.17
B20,Virginia,M,3.08,40.79271486,5.05
B21,Virginia,F,1.84,46.85200605,7.26
B22,Virginia,F,2.86,33.29173651,5.31
B23,Virginia,F,1.51,67.23585797,5.72
B24,Virginia,M,1.90,33.87585397,5.85
B25,Virginia,F,3.49,45.63446962,5.00
D1,Florida,F,2.27,76.34924298,13.53
D2,Florida,M,3.48,46.86682916,6.77
D3,Florida,M,1.82,35.35457228,48.82
D4,Florida,M,8.74,53.90962101,24.96
D5,Florida,F,5.42,42.43228988,134.09
D6,Florida,M,1.24,47.33973244,8.72
D7,Florida,F,1.85,66.8604412,14.13
D8,Florida,F,5.29,88.03662842,12.86
D9,Florida,M,1.94,72.3985665,16.54
D10,Florida,F,7.23,90.26362375,12.34
D11,Florida,F,1.45,69.81315321,10.98
D12,Florida,F,4.33,65.65727953,11.81
D13,Florida,F,2.88,135.5142967,17.49
D14,Florida,M,1.54,83.22913368,14.02
D15,Florida,M,2.38,80.29156446,13.67
D16,Florida,M,2.57,86.72069505,9.94
D17,Florida,F,2.68,69.59274132,21.34
D18,Florida,F,3.94,56.0493261,13.68
D19,Florida,M,3.42,52.05935426,21.02
D20,Florida,M,4.15,69.4314733,16.54
D21,Florida,M,3.11,63.70776187,11.10
D22,Florida,M,2.50,65.83783846,12.74
D23,Florida,M,2.67,78.60920509,15.55
D24,Florida,M,2.31,49.99260834,13.50
D25,Florida,F,1.42,71.66190813,14.59
D26,Florida,M,1.50,53.55605718,50.46
D27,Florida,F,2.79,75.45554707,16.14
D28,Florida,F,1.38,67.01067473,12.97
D29,Florida,F,1.10,68.80324729,15.78
D30,Florida,F,1.29,87.93688027,12.85
